ticker,company
APLLTD,Alembic Pharmaceuticals Limited
APOLLO,Apollo Micro Systems Limited
APOLLOHOSP,Apollo Hospitals Enterprise Limited
APOLLOTYRE,Apollo Tyres Limited
APTECHT,Aptech Limited
ARCHIDPLY,Archidply Industries Limited
ARIES,Aries Agro Limited
ARIHANT,Arihant Foundations & Housing Limited
ARMANFIN,Arman Financial Services Limited
AROGRANITE,Aro Granite Industries Limited
ARSHIYA,Arshiya Limited
ARSSINFRA,ARSS Infrastructure Projects Limited
ARVIND,Arvind Limited
ARVSMART,Arvind SmartSpaces Limited
ASAHIINDIA,Asahi India Glass Limited
ASAHISONG,Asahi Songwon Colors Limited
ASAL,Automotive Stampings and Assemblies Limited
ASHIANA,Ashiana Housing Limited
ASHOKA,Ashoka Buildcon Limited
ASHOKLEY,Ashok Leyland Limited
ASIANHOTNR,Asian Hotels (North) Limited
ASIANPAINT,Asian Paints Limited
ASIANTILES,Asian Granito India Limited
ASPINWALL,Aspinwall and Company Limited
ASTEC,Astec LifeSciences Limited
ASTERDM,Aster DM Healthcare Limited
ASTRAL,Astral Limited
ASTRAMICRO,Astra Microwave Products Limited
ASTRAZEN,AstraZeneca Pharma India Limited
ASTRON,Astron Paper & Board Mill Limited
ATFL,Agro Tech Foods Limited
ATUL,Atul Limited
ATULAUTO,Atul Auto Limited
AUBANK,AU Small Finance Bank Limited
AURIONPRO,Aurionpro Solutions Limited
AUROPHARMA,Aurobindo Pharma Limited
AUSOMENT,Ausom Enterprise Limited
AUTOAXLES,Automotive Axles Limited
AUTOIND,Autoline Industries Limited
AVADHSUGAR,Avadh Sugar & Energy Limited
AVANTIFEED,Avanti Feeds Limited
AVTNPL,AVT Natural Products Limited
AXISBANK,Axis Bank Limited
AXISCADES,AXISCADES Technologies Limited
AYMSYNTEX,AYM Syntex Limited
BAGFILMS,B.A.G Films and Media Limited
BAJAJ-AUTO,Bajaj Auto Limited
BAJAJCON,Bajaj Consumer Care Limited
BAJAJELEC,Bajaj Electricals Limited
BAJAJFINSV,Bajaj Finserv Limited
BAJAJHIND,Bajaj Hindusthan Sugar Limited
BAJAJHLDNG,Bajaj Holdings & Investment Limited
BAJFINANCE,Bajaj Finance Limited
BALAJITELE,Balaji Telefilms Limited
BALAMINES,Balaji Amines Limited
BALKRISIND,Balkrishna Industries Limited
BALMLAWRIE,Balmer Lawrie & Company Limited
BALPHARMA,Bal Pharma Limited
BALRAMCHIN,Balrampur Chini Mills Limited
BANARBEADS,Banaras Beads Limited
BANARISUG,Bannari Amman Sugars Limited
BANCOINDIA,Banco Products (I) Limited
BANDHANBNK,Bandhan Bank Limited
BANG,Bang Overseas Limited
BANKBARODA,Bank of Baroda
BANKINDIA,Bank of India
BANSWRAS,Banswara Syntex Limited
BASF,BASF India Limited
BASML,Bannari Amman Spinning Mills Limited
BATAINDIA,Bata India Limited
BAYERCROP,Bayer Cropscience Limited
BBL,Bharat Bijlee Limited
BDL,Bharat Dynamics Limited
BEARDSELL,Beardsell Limited
BEDMUTHA,Bedmutha Industries Limited
BEL,Bharat Electronics Limited
BEML,BEML Limited
BEPL,Bhansali Engineering Polymers Limited
BERGEPAINT,Berger Paints (I) Limited
BFINVEST,BF Investment Limited
BFUTILITIE,BF Utilities Limited
BGRENERGY,BGR Energy Systems Limited
BHAGERIA,Bhageria Industries Limited
BHAGYANGR,Bhagyanagar India Limited
BHAGYAPROP,Bhagyanagar Properties Limited
BHANDARI,Bhandari Hosiery Exports Limited
BHARATFORG,Bharat Forge Limited
BHARATGEAR,Bharat Gears Limited
BHARATRAS,Bharat Rasayan Limited
BHARATWIRE,Bharat Wire Ropes Limited
BHARTIARTL,Bharti Airtel Limited
BHEL,Bharat Heavy Electricals Limited
BIGBLOC,Bigbloc Construction Limited
BINDALAGRO,Oswal Chemicals & Fertilizers Limited
BIOCON,Biocon Limited
BIRLACABLE,Birla Cable Limited
BIRLACORPN,Birla Corporation Limited
BLISSGVS,Bliss GVS Pharma Limited
BLKASHYAP,B. L. Kashyap and Sons Limited
BLS,BLS International Services Limited
BLUEDART,Blue Dart Express Limited
BLUESTARCO,Blue Star Limited
BODALCHEM,Bodal Chemicals Limited
BOMDYEING,Bombay Dyeing & Mfg Company Limited
BORORENEW,BOROSIL RENEWABLES LIMITED
BOSCHLTD,Bosch Limited
BPCL,Bharat Petroleum Corporation Limited
BPL,BPL Limited
BRIGADE,Brigade Enterprises Limited
BRITANNIA,Britannia Industries Limited
BRNL,Bharat Road Network Limited
BROOKS,Brooks Laboratories Limited
BSE,BSE Limited
BSL,BSL Limited
BSOFT,BIRLASOFT LIMITED
BUTTERFLY,Butterfly Gandhimathi Appliances Limited
BYKE,The Byke Hospitality Ltd
CADILAHC,Cadila Healthcare Limited
CALSOFT,California Software Company Limited
CAMLINFINE,Camlin Fine Sciences Limited
CANBK,Canara Bank
CANFINHOME,Can Fin Homes Limited
CANTABIL,Cantabil Retail India Limited
CAPACITE,Capacit'e Infraprojects Limited
CAPLIPOINT,Caplin Point Laboratories Limited
CARBORUNIV,Carborundum Universal Limited
CAREERP,Career Point Limited
CARERATING,CARE Ratings Limited
CASTROLIND,Castrol India Limited
CCL,CCL Products (India) Limited
CDSL,Central Depository Services (India) Limited
CEATLTD,CEAT Limited
CELEBRITY,Celebrity Fashions Limited
CENTENKA,Century Enka Limited
CENTEXT,Century Extrusions Limited
CENTRALBK,Central Bank of India
CENTRUM,Centrum Capital Limited
CENTUM,Centum Electronics Limited
CENTURYPLY,Century Plyboards (India) Limited
CENTURYTEX,Century Textiles & Industries Limited
CERA,Cera Sanitaryware Limited
CEREBRAINT,Cerebra Integrated Technologies Limited
CESC,CESC Limited
CGCL,Capri Global Capital Limited
CGPOWER,CG Power and Industrial Solutions Limited
CHALET,Chalet Hotels Limited
CHAMBLFERT,Chambal Fertilizers & Chemicals Limited
CHEMFAB,Chemfab Alkalis Limited
CHENNPETRO,Chennai Petroleum Corporation Limited
CHOLAHLDNG,Cholamandalam Financial Holdings Limited
CIGNITITEC,Cigniti Technologies Limited
CINELINE,Cineline India Limited
CIPLA,Cipla Limited
CLEDUCATE,CL Educate Limited
CLNINDIA,Clariant Chemicals (India) Limited
CMICABLES,CMI Limited
COALINDIA,Coal India Limited
COCHINSHIP,Cochin Shipyard Limited
COFORGE,Coforge Limited
COLPAL,Colgate Palmolive (India) Limited
COMPINFO,Compuage Infocom Limited
COMPUSOFT,Compucom Software Limited
CONCOR,Container Corporation of India Limited
CONSOFINVT,Consolidated Finvest & Holdings Limited
CONTROLPR,Control Print Limited
CORALFINAC,Coral India Finance & Housing Limited
CORDSCABLE,Cords Cable Industries Limited
COROMANDEL,Coromandel International Limited
COSMOFILMS,Cosmo Films Limited
